label,text,risk_type
phishing,"קיבלת הודעה מהבנק: יש בעיה בחשבון, לחץ כאן לאימות",התחזות לבנק
phishing,החשבון שלך ייחסם היום! עדכן פרטים בקישור הבא,איום ודחיפות
phishing,זכית בפרס כספי! לחץ כאן לקבלת הזכייה,פרס מזויף
phishing,נדרש אימות דחוף של כרטיס האשראי,התחזות פיננסית
phishing,"שלום, אנו ממחלקת אבטחה, אנא אשר את פרטיך",התחזות
phishing,"התקבל תשלום חריג, לחץ לביטול",הפחדה
phishing,"החבילה שלך ממתינה, אשר תשלום קטן",משלוח מזויף
phishing,"הקוד שלך הוא 483921, שלח לנו לאימות",בקשת קוד אימות
phishing,"החשבון הושעה זמנית, לחץ לשחזור",איום
phishing,"הודעה חשובה מהביטוח הלאומי, לחץ כאן",התחזות ממשלתית
phishing,בעיה חמורה בחשבון הבנק שלך,הפחדה
phishing,אנא אשר פרטי זיהוי כדי למנוע חסימה,התחזות
phishing,"קיבלת החזר כספי, הזן פרטים",פיתוי
phishing,זכית בהגרלה! מלא פרטים,פרס מזויף
phishing,פעילות חשודה זוהתה בחשבון,הפחדה
phishing,אימות נדרש לצורך המשך שימוש,התחזות
phishing,החשבון שלך יימחק תוך 24 שעות,איום
phishing,אנא לחץ לאישור זהות,התחזות
phishing,נדרש עדכון סיסמה מיידי,התחזות
phishing,הודעה דחופה ממחלקת אבטחה,התחזות
phishing,בעיה בכרטיס האשראי שלך,פיננסי
phishing,"שלום, זכית בפרס גדול",פרס מזויף
phishing,אשר קבלת תשלום,התחזות
phishing,חשבון הוואטסאפ שלך בסכנה,השתלטות חשבון
phishing,אנא שלח קוד אימות שקיבלת,OTP
phishing,פעילות חריגה זוהתה,הפחדה
phishing,נדרש תשלום מיידי,איום
phishing,לחץ כאן למניעת חסימה,דחיפות
phishing,הודעה ממשרד ממשלתי,התחזות
phishing,"תשלום לא זוהה, אשר פרטים",פיננסי
phishing,קיבלת הודעה מאובטחת,התחזות
phishing,יש לעדכן פרטים כעת,דחיפות
phishing,אנא אמת את זהותך,התחזות
phishing,חשבון הבנק שלך בסיכון,הפחדה
phishing,החזר מס מחכה לך,פיתוי
phishing,לחץ כאן לאישור משלוח,משלוח
phishing,"קיבלת קנס, שלם כעת",איום
phishing,אימות נדרש עקב פעילות חריגה,התחזות
phishing,אשר את מספר האשראי,פיננסי
phishing,חשבון הושעה עקב אבטחה,הפחדה
phishing,זכית בפרס טיסה,פרס
phishing,תשלום דחוף נדרש,דחיפות
phishing,לחץ לאישור חשבון,התחזות
phishing,הקוד שלך פג תוקף,OTP
phishing,נדרש אימות טלפוני,התחזות
phishing,חשבון נחסם זמנית,איום
phishing,עדכון אבטחה חשוב,התחזות
phishing,אשר פרטים למניעת נזק,הפחדה
phishing,הודעה רשמית מהבנק,התחזות
phishing,פעולה נדרשת מיידית,דחיפות
benign,תזכורת: מחר יש לך תור לרופא משפחה בשעה 09:30,תקין
benign,"שלום, החשבון החודשי שלך זמין לצפייה באזור האישי",תקין
benign,"היי, אני אגיע אלייך קצת מאוחר היום",תקין
benign,תזכורת לתשלום ארנונה עד סוף החודש,תקין
benign,מחר מתקיים חוג ההתעמלות בשעה 17:00,תקין
benign,"שלום, החבילה שלך תימסר מחר בין 12:00 ל־16:00",תקין
benign,"אמא יקרה, התקשרי אליי כשיהיה לך זמן",תקין
benign,"תודה שפנית אלינו, נציג יחזור אליך בקרוב",תקין
benign,תזכורת: אסיפת דיירים ביום חמישי,תקין
benign,החשבונית החודשית נשלחה לדוא״ל,תקין
benign,"מחר מזג האוויר יהיה חם, מומלץ לשתות מים",תקין
benign,"שלום, קיבלת הודעה חדשה מהקופה",תקין
benign,"השיעור היום מבוטל, נעדכן על מועד חדש",תקין
benign,תזכורת: נטילת תרופה בשעה 20:00,תקין
benign,"תודה על התשלום, הקבלה מצורפת",תקין
benign,"אחותי, הכל בסדר? תעדכני",תקין
benign,נציג השירות שלנו זמין בין 9:00–15:00,תקין
benign,מחר יש פעילות במועדון הקשישים,תקין
benign,"שלום, זהו עדכון כללי לגבי שעות פעילות",תקין
benign,"ערב טוב, אשמח לדבר איתך מחר",תקין
benign,תזכורת: בדיקת דם ביום ראשון,תקין
benign,"תודה על פנייתך, הטיפול בבקשה בעיצומו",תקין
benign,"מחר מתקיים טיול מאורגן, נפגשים ב־8:00",תקין
benign,יום הולדת שמח! מאחלים לך בריאות,תקין
benign,החשבון עודכן בהצלחה,תקין
benign,"שלום, נקבע לך תור חדש",תקין
benign,ההודעה נשלחה בהצלחה,תקין
benign,אנחנו מחכים לך מחר,תקין
benign,תזכורת לפגישה היום ב־18:00,תקין
benign,המנוי שלך חודש אוטומטית,תקין
benign,תודה שהשתמשת בשירות,תקין
benign,נציג יחזור אליך בהקדם,תקין
benign,"היי, רציתי לבדוק שהכול בסדר",תקין
benign,מחר אין פעילות עקב חג,תקין
benign,"שלום, מצורף סיכום הביקור",תקין
benign,תזכורת לפעילות השבועית,תקין
benign,ההרשמה נקלטה בהצלחה,תקין
benign,"אמא, אני בדרך",תקין
benign,התשלום התקבל,תקין
benign,תודה על שיתוף הפעולה,תקין
benign,נשלחה אליך הודעה חדשה,תקין
benign,"שלום, זהו עדכון מערכת",תקין
benign,נקבעה פגישה חדשה,תקין
benign,מחר הספרייה סגורה,תקין
benign,"ערב נעים, נתראה מחר",תקין
benign,החשבון שלך במצב תקין,תקין
benign,תודה על האמון,תקין
benign,הודעה זו נשלחה לידיעה בלבד,תקין
benign,שמחים לעדכן על פעילות חדשה,תקין
